t,i,j,trade_usd_thousands,qty_tons
2015,608,724,230833.2229999999,56726.82299999968
2015,608,752,47715.16899999998,5840.853000000015
2015,608,826,621360.6250000003,82508.6179999998
2015,608,842,10384619.908,1233770.5680000025
2015,616,96,775.0880000000008,74.93800000000005
2015,616,104,27782.997999999996,1369.2159999999997
2015,616,116,10864.135,16604.767999999996
2015,616,360,155728.76899999988,49646.98500000002
2015,616,418,831.6229999999999,201.881
2015,616,458,205905.97199999975,73557.46299999979
2015,616,608,60385.85699999998,13535.23600000004
2015,616,702,1100074.0999999996,728918.1930000017
2015,616,704,259301.58200000026,109835.47500000002
2015,616,764,199949.7509999998,53388.52199999969
2015,702,56,977581.7510000016,635723.5350000008
2015,702,156,29890306.469000027,12874139.258000042
2015,702,251,2853475.9229999953,951509.6700000047
2015,702,276,3817108.139000006,168355.0999999992
2015,702,380,334650.2269999996,29250.44900000009
2015,702,392,7917874.846999992,1538857.9370000025
2015,702,410,8228778.1770000085,4119827.4039999996
2015,702,528,2342384.218000006,503542.44699999713
2015,702,616,1032523.1880000007,536602.6900000004
2015,702,724,502404.9020000002,104875.89600000001
2015,702,752,161789.56200000015,38350.234999999804
2015,702,826,1625473.3669999975,217672.96299999996
2015,702,842,15748442.192000002,1298955.9289999919
2015,704,56,817206.5280000016,303401.6219999997
2015,704,156,20744998.399000008,14950028.362000005
2015,704,251,4502124.673000005,592854.3980000016
2015,704,276,8771867.084999995,815647.6540000003
2015,704,380,2965243.6950000036,361618.69699999935
2015,704,392,15260805.985999998,7469759.46599999
2015,704,410,9643985.027000006,5224749.866999969
2015,704,528,4966927.133000003,313266.0519999982
2015,704,616,1512944.6439999987,177529.36099999986
2015,704,724,2602911.4169999994,397000.0139999995
2015,704,752,950329.415999999,53565.82399999988
2015,704,826,4922831.362999993,406781.42399999994
2015,704,842,39573268.01100005,3921958.8080000067
2015,724,96,5770.642999999997,2331.5470000000028
2015,724,104,27092.705000000013,10552.547000000013
2015,724,116,12489.685999999996,6364.615000000001
2015,724,360,509612.8130000001,141259.67899999995
2015,724,418,1069.8990000000003,394.8559999999999
2015,724,458,836601.3939999994,338917.9249999995
2015,724,608,445410.58699999936,133040.08699999997
2015,724,702,802950.3620000012,172411.52599999896
2015,724,704,533353.6710000006,157549.6079999996
2015,724,764,530217.7319999987,164966.14699999944
2015,752,96,3394.4499999999994,290.53000000000026
2015,752,104,36723.93000000002,6959.911999999994
2015,752,116,11194.422,13945.289
2015,752,360,647997.5560000003,218608.64499999993
2015,752,418,2713.4450000000006,254.02399999999994
2015,752,458,464722.35799999995,103681.74900000001
2015,752,608,151519.20899999983,71025.14300000005
2015,752,702,1084276.2570000016,193953.37499999997
2015,752,704,241913.18099999963,51094.880999999965
2015,752,764,833757.9470000009,195121.0870000003
2015,764,56,1344640.494999999,198278.7939999996
2015,764,156,34974809.952999905,24637444.66099995
2015,764,251,2816875.766999993,451639.32099999895
2015,764,276,5746981.9969999995,579928.9569999984
2015,764,380,1347925.3790000002,272617.5259999987
2015,764,392,20532187.90900004,8420093.100000005
2015,764,410,4830158.941000004,3630929.9440000104
2015,764,528,2937074.9299999992,506754.57099999784
2015,764,616,717750.7630000007,105434.45600000002
2015,764,724,1091799.843999998,264497.3699999985
2015,764,752,505868.8350000012,90871.52699999971
2015,764,826,3771551.8140000026,676345.4859999999
2015,764,842,29603194.604000006,3480415.473000014
2015,826,96,150505.3159999999,5127.7570000000205
2015,826,104,41347.766,9139.821
2015,826,116,40552.31600000005,3907.5760000000023
2015,826,360,824045.8220000012,300174.4030000003
2015,826,418,13156.331999999993,1244.7040000000002
2015,826,458,1954700.9269999987,300788.65400000045
2015,826,608,594580.3830000012,121511.7579999998
2015,826,702,5647517.25599999,494638.76999999996
2015,826,704,771273.5369999997,148985.28399999993
2015,826,764,2382948.0000000005,994112.7279999988
