AidData Record ID,Recommended For Aggregates,Umbrella,Recipient,Recipient ISO-3,Commitment Year,Status,Flow Class,Sector Code,Sector Name,Funding Agencies,Amount (Constant USD 2021),Amount (Nominal USD),Adjusted Amount (Constant USD 2021)
33790,Yes,No,Lao People's Democratic Republic,LAO,2008,Completion,OOF-like,230,ENERGY,China Development Bank (CDB),181883100.488521,119300000.0,181883100.488521
33794,Yes,No,Lao People's Democratic Republic,LAO,2008,Completion,OOF-like,210,TRANSPORT AND STORAGE,Export-Import Bank of China (China Eximbank),96374002.0635133,63213231.0,96374002.0635133
33800,Yes,No,Lao People's Democratic Republic,LAO,2008,Completion,Vague (Official Finance),160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,China Development Bank (CDB),121905890.319046,79960000.0,121905890.319046
38453,Yes,No,Lao People's Democratic Republic,LAO,2008,Completion,ODA-like,210,TRANSPORT AND STORAGE,Unspecified Chinese Government Institution,152458.592194905,100000.0,152458.592194905
38460,Yes,No,Lao People's Democratic Republic,LAO,2008,Completion,ODA-like,110,EDUCATION,Unspecified Chinese Government Institution,,,
38461,Yes,No,Lao People's Democratic Republic,LAO,2008,Completion,ODA-like,720,EMERGENCY RESPONSE,Unspecified Chinese Government Institution,152458.592194905,100000.0,152458.592194905
38480,Yes,No,Lao People's Democratic Republic,LAO,2008,Completion,ODA-like,998,UNALLOCATED/UNSPECIFIED,Unspecified Chinese Government Institution,304917.18438981,200000.0,304917.18438981
47403,Yes,No,Lao People's Democratic Republic,LAO,2008,Completion,ODA-like,520,DEVELOPMENTAL FOOD AID/FOOD SECURITY ASSISTANCE,Unspecified Chinese Government Institution,762292.960974525,500000.0,762292.960974525
63224,Yes,No,Lao People's Democratic Republic,LAO,2008,Completion,OOF-like,230,ENERGY,Export-Import Bank of China (China Eximbank),99098084.9266883,65000000.0,99098084.9266883
63335,No,No,Lao People's Democratic Republic,LAO,2008,Pipeline: Pledge,Vague (Official Finance),230,ENERGY,Export-Import Bank of China (China Eximbank),,,
63799,Yes,No,Lao People's Democratic Republic,LAO,2008,Completion,OOF-like,160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,Export-Import Bank of China (China Eximbank),5793426.50340639,3800000.0,5793426.50340639
64106,No,No,Lao People's Democratic Republic,LAO,2008,Pipeline: Pledge,ODA-like,220,COMMUNICATIONS,Export-Import Bank of China (China Eximbank),119771334.8523,78559911.3359143,119771334.8523
64234,No,Yes,Lao People's Democratic Republic,LAO,2008,Pipeline: Commitment,ODA-like,998,UNALLOCATED/UNSPECIFIED,China Ministry of Commerce,10968070.9571703,7194131.07471742,
64374,Yes,No,Lao People's Democratic Republic,LAO,2008,Completion,ODA-like,150,GOVERNMENT AND CIVIL SOCIETY,Unspecified Chinese Government Institution,,,
85331,Yes,No,Lao People's Democratic Republic,LAO,2008,Completion,ODA-like,220,COMMUNICATIONS,Unspecified Chinese Government Institution,,,
34211,Yes,No,Myanmar,MMR,2008,Completion,ODA-like,720,EMERGENCY RESPONSE,Unspecified Chinese Government Institution,762292.960974525,500000.0,762292.960974525
34212,Yes,No,Myanmar,MMR,2008,Completion,ODA-like,720,EMERGENCY RESPONSE,Unspecified Chinese Government Institution,762292.960974525,500000.0,762292.960974525
34214,Yes,No,Myanmar,MMR,2008,Completion,ODA-like,720,EMERGENCY RESPONSE,Unspecified Chinese Government Institution,6580842.57430223,4316478.64483045,6580842.57430223
34218,Yes,No,Myanmar,MMR,2008,Completion,ODA-like,720,EMERGENCY RESPONSE,Guangxi Provincial Government,381146.480487262,250000.0,381146.480487262
34291,No,Yes,Myanmar,MMR,2008,Completion,ODA-like,730,RECONSTRUCTION RELIEF AND REHABILITATION,Unspecified Chinese Government Institution,15245859.2194905,10000000.0,
34310,Yes,No,Myanmar,MMR,2008,Completion,ODA-like,720,EMERGENCY RESPONSE,Unspecified Chinese Government Institution,,,
35870,Yes,No,Myanmar,MMR,2008,Completion,ODA-like,720,EMERGENCY RESPONSE,"Yunnan Machinery and Equipment Import and Export Co., Ltd. (YMIEC)",152458.592194905,100000.0,152458.592194905
35871,No,No,Myanmar,MMR,2008,Pipeline: Pledge,ODA-like,720,EMERGENCY RESPONSE,China Power Investment (CPI) ,28018008.4710702,18377454.5387718,28018008.4710702
35872,Yes,No,Myanmar,MMR,2008,Completion,ODA-like,720,EMERGENCY RESPONSE,China Building Material Industrial Corporation for Foreign Economic-Technical Corporation (CBMIC)|China Chengda Engineering Co. Ltd|China National Aero-Technology Import & Export Corporation (CATIC)|China National Heavy Machinery Corporation (CHMC)|Chinese Embassy,,,
38434,Yes,No,Myanmar,MMR,2008,Completion,ODA-like,520,DEVELOPMENTAL FOOD AID/FOOD SECURITY ASSISTANCE,Unspecified Chinese Government Institution,,,
38436,Yes,No,Myanmar,MMR,2008,Completion,ODA-like,720,EMERGENCY RESPONSE,Yunnan Provincial Government,381146.480487262,250000.0,381146.480487262
38907,Yes,No,Myanmar,MMR,2008,Completion,OOF-like,120,HEALTH,Overseas Chinese Affairs Office,,,
64154,Yes,No,Myanmar,MMR,2008,Pipeline: Commitment,ODA-like,140,WATER SUPPLY AND SANITATION,Export-Import Bank of China (China Eximbank),10968070.9571703,7194131.07471742,10968070.9571703
67533,Yes,No,Myanmar,MMR,2008,Completion,ODA-like,220,COMMUNICATIONS,ZTE Corporation,4573757.76584715,3000000.0,4573757.76584715
85635,Yes,No,Myanmar,MMR,2008,Completion,ODA-like,720,EMERGENCY RESPONSE,Unspecified Chinese Government Institution,,,
98725,No,No,Myanmar,MMR,2008,Pipeline: Pledge,ODA-like,720,EMERGENCY RESPONSE,China Nonferrous Metal Industry Corporation (CNMIC),,,
98726,Yes,No,Myanmar,MMR,2008,Completion,ODA-like,720,EMERGENCY RESPONSE,China National Offshore Oil Corporation (CNOOC),152458.592194905,100000.0,152458.592194905
98727,No,No,Myanmar,MMR,2008,Pipeline: Pledge,ODA-like,720,EMERGENCY RESPONSE,All-China Women's Federation (ACWF),,,
64412,Yes,No,Thailand,THA,2008,Pipeline: Commitment,Vague (Official Finance),320,"INDUSTRY, MINING, CONSTRUCTION",Export-Import Bank of China (China Eximbank),,,
34478,Yes,No,Viet Nam,VNM,2008,Completion,OOF-like,320,"INDUSTRY, MINING, CONSTRUCTION",Export-Import Bank of China (China Eximbank),381146480.487262,250000000.0,381146480.487262
63656,Yes,No,Viet Nam,VNM,2008,Pipeline: Commitment,OOF-like,320,"INDUSTRY, MINING, CONSTRUCTION",Bank of China (BOC),21344202.9072867,14000000.0,21344202.9072867
73326,Yes,No,Viet Nam,VNM,2008,Implementation,ODA-like,210,TRANSPORT AND STORAGE,Export-Import Bank of China (China Eximbank),263233702.972089,172659145.793218,263233702.972089
92159,Yes,No,Viet Nam,VNM,2008,Completion,ODA-like,210,TRANSPORT AND STORAGE,China Development Bank (CDB),762292960.974525,500000000.0,762292960.974525
98329,Yes,No,Viet Nam,VNM,2008,Pipeline: Commitment,OOF-like,250,BUSINESS AND OTHER SERVICES,Bank of China (BOC),12196687.3755924,8000000.0,12196687.3755924
39034,Yes,No,Brunei Darussalam,BRN,2007,Completion,OOF-like,110,EDUCATION,Unspecified Chinese Government Institution,,,
32105,Yes,No,Cambodia,KHM,2007,Completion,OOF-like,210,TRANSPORT AND STORAGE,Export-Import Bank of China (China Eximbank),75353192.355186,41880000.0,75353192.355186
32113,No,Yes,Cambodia,KHM,2007,Pipeline: Commitment,OOF-like,430,OTHER MULTISECTOR,Export-Import Bank of China (China Eximbank),372447727.257008,207000000.0,
32126,Yes,No,Cambodia,KHM,2007,Completion,ODA-like,150,GOVERNMENT AND CIVIL SOCIETY,Unspecified Chinese Government Institution,2249080.47860512,1250000.0,2249080.47860512
32127,Yes,No,Cambodia,KHM,2007,Completion,ODA-like,310,"AGRICULTURE, FORESTRY, FISHING",Unspecified Chinese Government Institution,,,
32146,Yes,No,Cambodia,KHM,2007,Completion,ODA-like,220,COMMUNICATIONS,Export-Import Bank of China (China Eximbank),31934497.6397171,17748641.0243547,31934497.6397171
32151,No,No,Cambodia,KHM,2007,Pipeline: Pledge,OOF-like,240,BANKING AND FINANCIAL SERVICES,Shanghai Stock Exchange,,,
32153,Yes,No,Cambodia,KHM,2007,Completion,OOF-like,210,TRANSPORT AND STORAGE,Export-Import Bank of China (China Eximbank),93381821.4716847,51900000.0,93381821.4716847
32162,No,Yes,Cambodia,KHM,2007,Pipeline: Commitment,ODA-like,998,UNALLOCATED/UNSPECIFIED,Unspecified Chinese Government Institution,18924146.749462,10517713.1996176,
32239,Yes,No,Cambodia,KHM,2007,Completion,OOF-like,210,TRANSPORT AND STORAGE,Export-Import Bank of China (China Eximbank),128670284.62137,71512717.0,128670284.62137
33051,Yes,No,Cambodia,KHM,2007,Completion,ODA-like,150,GOVERNMENT AND CIVIL SOCIETY,China Ministry of Foreign Affairs,,,
33054,Yes,No,Cambodia,KHM,2007,Completion,OOF-like,230,ENERGY,Export-Import Bank of China (China Eximbank),371425745.08753,206432000.0,371425745.08753
33057,Yes,No,Cambodia,KHM,2007,Completion,OOF-like,210,TRANSPORT AND STORAGE,Export-Import Bank of China (China Eximbank),51789421.4441032,28783664.0,51789421.4441032
33058,Yes,No,Cambodia,KHM,2007,Completion,OOF-like,210,TRANSPORT AND STORAGE,Export-Import Bank of China (China Eximbank),78274512.19326,43503619.0,78274512.19326
33138,Yes,No,Cambodia,KHM,2007,Completion,ODA-like,150,GOVERNMENT AND CIVIL SOCIETY,Unspecified Chinese Government Institution,,,
38774,Yes,No,Cambodia,KHM,2007,Completion,ODA-like,110,EDUCATION,Unspecified Chinese Government Institution,145398.554780864,80810.0,145398.554780864
38876,Yes,No,Cambodia,KHM,2007,Completion,ODA-like,150,GOVERNMENT AND CIVIL SOCIETY,Unspecified Chinese Government Institution,,,
