t,asean_country,partner_group,direction,trade_usd_thousands,trade_usd_millions
2020,THA,EU,asean_to_partner,17347396.979999997,17347.396979999998
2020,THA,EU,partner_to_asean,12638477.933000002,12638.477933000002
2020,THA,GBR,asean_to_partner,3275125.810999999,3275.125810999999
2020,THA,GBR,partner_to_asean,1738933.9279999984,1738.9339279999983
2020,THA,JPN,asean_to_partner,23645499.596000012,23645.499596000012
2020,THA,JPN,partner_to_asean,26654931.340999953,26654.931340999952
2020,THA,KOR,asean_to_partner,5071984.736000008,5071.984736000008
2020,THA,KOR,partner_to_asean,7688285.177000006,7688.285177000006
2020,THA,USA,asean_to_partner,39337500.30299996,39337.50030299996
2020,THA,USA,partner_to_asean,12692043.337999992,12692.043337999992
2020,VNM,CHN,asean_to_partner,65955529.87900014,65955.52987900014
2020,VNM,CHN,partner_to_asean,89188273.48899984,89188.27348899984
2020,VNM,EU,asean_to_partner,34176275.28799998,34176.27528799998
2020,VNM,EU,partner_to_asean,9073984.016000003,9073.984016000002
2020,VNM,GBR,asean_to_partner,5067496.859000011,5067.496859000012
2020,VNM,GBR,partner_to_asean,759479.8730000004,759.4798730000003
2020,VNM,JPN,asean_to_partner,21705500.237000003,21705.500237000004
2020,VNM,JPN,partner_to_asean,19175837.24899999,19175.83724899999
2020,VNM,KOR,asean_to_partner,20500459.741000008,20500.459741000006
2020,VNM,KOR,partner_to_asean,41780177.84500002,41780.17784500002
2020,VNM,USA,asean_to_partner,80098767.794,80098.767794
2020,VNM,USA,partner_to_asean,13085094.48499999,13085.09448499999
2021,BRN,CHN,asean_to_partner,2243989.054000001,2243.989054000001
2021,BRN,CHN,partner_to_asean,605212.9949999998,605.2129949999998
2021,BRN,EU,asean_to_partner,9463.869999999997,9.463869999999996
2021,BRN,EU,partner_to_asean,233780.88499999983,233.78088499999984
2021,BRN,GBR,asean_to_partner,10526.744,10.526744
2021,BRN,GBR,partner_to_asean,72079.35099999991,72.0793509999999
2021,BRN,JPN,asean_to_partner,2326874.2109999997,2326.874211
2021,BRN,JPN,partner_to_asean,291986.3399999999,291.9863399999999
2021,BRN,KOR,asean_to_partner,126744.50199999996,126.74450199999997
2021,BRN,KOR,partner_to_asean,165585.6889999998,165.5856889999998
2021,BRN,USA,asean_to_partner,14335.758,14.335758
2021,BRN,USA,partner_to_asean,211196.49499999997,211.19649499999997
2021,IDN,CHN,asean_to_partner,60043887.55799993,60043.88755799993
2021,IDN,CHN,partner_to_asean,57396619.17299988,57396.61917299988
2021,IDN,EU,asean_to_partner,18849925.681999993,18849.925681999994
2021,IDN,EU,partner_to_asean,9188855.503,9188.855503
2021,IDN,GBR,asean_to_partner,2113219.704,2113.219704
2021,IDN,GBR,partner_to_asean,1125010.103000001,1125.010103000001
2021,IDN,JPN,asean_to_partner,19552163.704999983,19552.163704999984
2021,IDN,JPN,partner_to_asean,13795133.501000008,13795.133501000008
2021,IDN,KOR,asean_to_partner,10633197.19100002,10633.19719100002
2021,IDN,KOR,partner_to_asean,9192215.888999991,9192.215888999992
