country_iso3,year,partner_group,direction,metric,value_usd_millions,source
BRN,2021,KOR,partner_to_asean,fdi_flow,0.893814,OECD BMD4 (fdi_flow)
BRN,2021,KOR,partner_to_asean,fdi_position,8.3385337,OECD BMD4 (fdi_position)
BRN,2021,KOR,asean_to_partner,trade_goods,126.74450199999995,BACI HS07 V202601
BRN,2021,KOR,partner_to_asean,trade_goods,165.5856889999998,BACI HS07 V202601
BRN,2021,USA,partner_to_asean,fdi_flow,-12.0,BEA USDIA
BRN,2021,USA,asean_to_partner,trade_goods,14.335758,BACI HS07 V202601
BRN,2021,USA,partner_to_asean,trade_goods,211.19649499999997,BACI HS07 V202601
BRN,2022,CHN,asean_to_partner,trade_goods,2143.4497010000096,BACI HS07 V202601
BRN,2022,CHN,partner_to_asean,trade_goods,832.619914999998,BACI HS07 V202601
BRN,2022,EU,partner_to_asean,fdi_flow,0.0,OECD BMD4 (fdi_flow)
BRN,2022,EU,partner_to_asean,fdi_position,38.29138225256,OECD BMD4 (fdi_position)
BRN,2022,EU,asean_to_partner,trade_goods,58.020827,BACI HS07 V202601
BRN,2022,EU,partner_to_asean,trade_goods,231.94393100000005,BACI HS07 V202601
BRN,2022,GBR,asean_to_partner,trade_goods,28.42942999999996,BACI HS07 V202601
BRN,2022,GBR,partner_to_asean,trade_goods,113.39844200000005,BACI HS07 V202601
BRN,2022,JPN,asean_to_partner,trade_goods,2271.0219100000036,BACI HS07 V202601
BRN,2022,JPN,partner_to_asean,trade_goods,113.39254600000012,BACI HS07 V202601
BRN,2022,KOR,partner_to_asean,fdi_flow,1.08071051,OECD BMD4 (fdi_flow)
BRN,2022,KOR,partner_to_asean,fdi_position,11.47657142,OECD BMD4 (fdi_position)
BRN,2022,KOR,asean_to_partner,trade_goods,290.654121,BACI HS07 V202601
BRN,2022,KOR,partner_to_asean,trade_goods,85.07365099999994,BACI HS07 V202601
BRN,2022,USA,asean_to_partner,trade_goods,109.082882,BACI HS07 V202601
BRN,2022,USA,partner_to_asean,trade_goods,272.8958080000002,BACI HS07 V202601
